latitud,longitud,id_syscali01,Latitud:,Longitud:,Río:,Altura,Fecha de Muestreo,Hora de Muestreo,Velocidad media,Caudal,Campaña,Responsable,Conductividad específica (T ref. 25°C) (uS/cm),Oxígeno disuelto (mg/l O2),pH (u pH),Sólidos disueltos totales (mg/l),Sólidos suspendidos totales (mg/l),Sólidos totales (mg/l),Temperatura (C),Calcio disuelto (mg/l Ca),Calcio total (mg/l Ca),Dureza total (mg/l CaCO3),Magnesio disuelto (mg/l Mg),Magnesio total (mg/l Mg),Potasio disuelto (mg/l K),Potasio total (mg/l K),Sodio disuelto (mg/l Na),Sodio total (mg/l Na),Demanda bioquímica de oxígeno (mg/l O2),Demanda química de oxígeno (mg/l O2),Arsenico disuelto (ug/l As),Arsenico total (ug/l As),Cadmio disuelto (ug/l Cd),Cadmio total (ug/l Cd),Cobre disuelto (ug/l Cu),Cobre total (ug/l Cu),Cromo disuelto (ug/l Cr),Cromo total (ug/l Cr),Hierro disuelto (ug/l Fe),Hierro total (ug/l Fe),Manganeso disuelto (ug/l Mn),Manganeso total (ug/l Mn),Mercurio disuelto (ug/l Hg),Mercurio total (ug/l Hg),Niquel disuelto (ug/l Ni),Niquel total (ug/l Ni),Plata disuelto (ug/l Ag),Plata total (ug/l Ag),Plomo disuelto (ug/l Pb),Plomo total (ug/l Pb),Zinc disuelto (ug/l Zn),Zinc total (ug/l Zn),Arsenico suspensión (mg/kg As),Cadmio suspensión (mg/kg Cd),Cobre suspensión (mg/kg Cu),Cromo suspensión (mg/kg Cr),Hierro suspensión (mg/kg Fe),Manganeso suspensión (mg/kg Mn),Niquel suspensión (mg/kg Ni),Plomo suspensión (mg/kg Pb),Zinc en suspensión (mg/kg Zn),Turbiedad (UNT),Plata suspensión (mg/kg Ag),Mercurio suspensión (mg/kg Hg),pH (mV) (mV),Salinidad (Sal),Saturación de oxígeno (%),Alcalinidad total (mg/l CaCO3),Cloruros (mg/l Cl -),Sulfatos (mg/l SO4=),Fósforo disuelto (mg/l PO4),Fósforo total (mg/l PO4),Nitrato (mg/l NO3),Nitrito (mg/l NO2),Nitrógeno amoniacal (mg/l NH4),Nitrógeno total Kjeldahl (mg/l N),Carbono organico disuelto (mg/l),Coliformes fecales (en NMP) (NMP/100 ml),Coliformes totales (en NMP) (NMP/100 ml),Cianuros libre (mg/l CN-),Fenoles (mg/l C6H6O),Sulfuros (mg/l S=),Aerobios mesófilos totales (en UFC) (UFC/100 ml),Coliformes fecales (en UFC) (UFC/100 ml),Coliformes totales (en UFC) (UFC/100 ml),Cianuros libre (CN-),Sulfuros (S=),Cianuros (mg/l CN-),Color (u PtCo),Boro disuelto (ug/l B),Boro total (ug/l B),Selenio disuelto (ug/l Se),Selenio total (ug/l Se),Hidrocarburos totales (mg/l),Boro suspensión (mg/kg B),Selenio suspensión (mg/kg Se),Cobre total (Cu),Cromo disuelto (Cr),Cromo total (Cr),Hierro disuelto (Fe),Hierro total (Fe),Manganeso disuelto (Mn),Manganeso total (Mn),Mercurio disuelto (Hg),Mercurio total (Hg),Niquel disuelto (Ni),Niquel total (Ni),Plata disuelto (Ag),Plata total (Ag),Plomo disuelto (Pb),Plomo total (Pb),Selenio disuelto (Se),Selenio total (Se),Zinc disuelto (Zn),Zinc total (Zn),Fenoles (C6H6O),Aerobios mesófilos totales (en UFC) (UFC/ml),Hidrocarburos totales (),Cadmio total (Cd),Cobre disuelto (Cu),Fósforo total (PO4),Arsenico total (As),Boro disuelto (B),Boro total (B),Cadmio disuelto (Cd),Demanda bioquímica de oxígeno (O2),Demanda química de oxígeno (O2),Arsenico disuelto (As),Magnesio total (Mg),Potasio disuelto (K),Sodio disuelto (Na),Sulfatos (SO4=),Nitrato (NO3),Nitrito (NO2),Nitrógeno amoniacal (NH4),Fósforo disuelto (PO4),Alcalinidad Fenolftaleina (mg/l CaCO3),Turbiedad (NTU),Bismuto disuelto (ug/l Bi),Bismuto total (ug/l Bi),Talio disuelto (ug/l Tl),Talio total (ug/l Tl),Bismuto suspensión (mg/kg Bi),Talio en suspensión (mg/kg Tl),Presión Parcial (mm Hg),Resistividad (Ohm.cm),Bismuto total (Bi),Talio disuelto (Tl),Talio total (Tl),Bismuto disuelto (Bi),Aerobios mesófilos totales (en NMP) (NMP/100 ml),Cianuros (CN-),Coliformes totales (en UFC) (),Coliformes totales (en NMP) (),Alcalinidad total (CaCO3),Dureza total (CaCO3),Magnesio disuelto (Mg),Potasio total (K),Sodio total (Na),Nitrógeno total Kjeldahl (N),Aerobios mesófilos totales (en UFC) (),Coliformes fecales (en NMP) (),Coliformes fecales (en UFC) (),pH en laboratorio (u pH),Sólidos sedimentables (ml/l),Calcio disuelto (Ca),Calcio total (Ca),Cloruros (Cl -),Carbono orgánico total (mg/l)
-23.8933,-58.4464,583,"23° 53' 36.0""","58° 26' 47.1"" ",Montelindo,94 msnm ,13-06-2013,14:45 Hs,SIN DATOS,SIN DATOS,Junio 2013, Unidad de Monitoreo y Centro de Datos,685,4.52,7.75,422.9,2.1,425,24.6,73.59,74,253.63,11.57,12.39,7.58,8.34,53.79,55.38,1.8,54.39,4,10,< 0.1,6,3,< 25,0.4,14,368,454,10,< 25,< 0.04,< 0.1,3,< 25,< 0.1,8,0.2,8,5,< 25,2857.14,2857.14,,6476.19,40952.38,,,200.00,,2.3,3809.52,,-55,0.1,55.3,177.76,57.48,104.82,1.23,1.53,0.04,0.008,0.017,0.65,,,,,< 1,< 0.001,,30,700,,,,92,647,526,< 2,< 25,< 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.2152,-59.2025,584,"23° 12' 54.7""","59° 12' 9.0"" ",Verde,88 msnm ,13-06-2013,11:30 Hs,SIN DATOS,SIN DATOS,Junio 2013, Unidad de Monitoreo y Centro de Datos,46100,5.52,8.99,39268.3,84.7,39353,26.9,613.22,817.63,6120,991.44,991.44,22.27,24.95,10564.1,10892.7,10.5,970.71,64,51,0.2,< 1,88,133,2,16,1872,3146,141,414,0.063,< 0.1,17,< 25,0.2,< 1,0.3,< 3,20,62,,,531.29,165.29,15041.32,3223.14,,,495.87,42,,,-129,30,,292.9,14620.5,10166.8,2.17,2.63,0.062,0.025,0.316,1.22,,,,,< 1,< 0.001,,20,100,,,,150,5877,19214,< 2,< 25,< 0.05,157461.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.5691,-60.5222,585,"23° 34' 8.8""","60° 31' 19.9"" ",Pilcomayo,164 msnm ,05-06-2013,11:00 Hs,SIN DATOS,SIN DATOS,Junio 2013, Unidad de Monitoreo y Centro de Datos,912,5.31,7.61,588,19.3,607.2,21.5,89.94,89.94,321.3,23.55,23.55,6.65,6.72,76.27,76.57,9,46.03,3,3,< 0.1,13,< 2,< 25,0.2,10,372,985,35,59,< 0.04,< 0.1,3,< 25,< 0.1,15,< 0.2,4,3,30,0.00,673.58,,507.77,31761.66,1243.52,,,1398.96,18,777.20,,-43,0.2,62.4,150.49,80.48,216.18,0.377,0.491,0.071,0.007,0.059,0.695,,,,,< 1,< 0.001,,10,300,,,,100,813,700,< 2,< 25,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.5389,-60.2536,586,"23° 32' 19.9""","60° 15' 13.0"" ",Las Garzas,162 msnm ,05-06-2013,12:45 Hs,SIN DATOS,SIN DATOS,Junio 2013, Unidad de Monitoreo y Centro de Datos,737,4.81,7.56,447,0.5,447.5,22.5,83.81,83.81,280.5,17.35,17.35,6.99,7,60.41,60.53,2.4,58.58,4,3,1,11,2,< 25,1,10,417,409,18,< 25,< 0.04,< 0.1,4,< 25,1,13,1,< 3,3,< 25,,20000.00,,18000.00,,,,,,1,24000.00,,-41,0.1,58.1,245.44,59.48,85.63,2.097,2.26,< 0.044,0.006,0.017,1.222,,,,,< 1,< 0.001,,170,1700,,,,115,564,591,< 2,< 25,0.47,54000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.378,-62.5186,587,"22° 22' 40.9""","62° 31' 6.9"" ",Pilcomayo,247 msnm ,26-06-2013,17:25 Hs,1.037 m/s,60 m3/s,Junio 2013, Unidad de Monitoreo y Centro de Datos,1057,7.53,8.15,918,942,1902,18.8,84,,334,30,,6,,112,,< 2,24,3,15,< 0.1,< 1,3,< 25,0.2,26,322,28172,23,711,< 0.04,0.398,3,29,< 0.1,< 1,< 0.2,21,11,90,12.74,,,27.39,29564.76,730.36,27.60,15.92,83.86,666,,0.42,-74,0.3,84.2,140,113,364,,,2,0.06,< 0.05,,,,,,,,,,,,,,11,920,839,< 2,< 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2588,-63.5116,588,21 15 31.6,63 30 41.8 ,Pilcomayo,364 msnm ,26-06-2013,06:40 Hs,0.323 m/s,61 m3/s,Junio 2013, Unidad de Monitoreo y Centro de Datos,1059,7.27,8.42,702,90,798,15.6,75.9,76.2,346,37.5,37.9,6.12,6.33,90.3,93.2,17.8,25,3,5,< 0.1,< 1,2,< 25,< 0.2,10,311,2978,7,110,< 0.04,< 0.1,2,< 25,< 0.1,< 1,< 0.2,< 3,2,< 25,22.22,,,111.11,29633.33,1144.44,,,,74.1,,,-88,0.3,75.3,148,129,295,,,,,,,,,,,,< 1,,,,,,< 0.02,,738,876,< 2,< 25,,1533.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2391,-65.2088,589,"21° 14' 20.9""","65° 12' 31.6"" ",San Juan del Oro, msnm ,23-06-2013,08:30 Hs,0.623 m/s,8 m3/s,Junio 2013, Unidad de Monitoreo y Centro de Datos,1188,7.16,8.54,838,62,900,7,110.44,110.44,477.9,48.23,49.09,7,7.1,73.3,75,5,7,3,6,< 0.1,< 1,< 2,< 25,< 0.2,13,492,5318,14,127,< 0.04,< 0.1,4,< 25,< 0.1,< 1,< 0.2,4,3,< 25,48.39,,,209.68,77838.71,1822.58,,,,115,,,-93,0.4,77.1,170,68.1,382.2,,,,,,,,,,,,< 0.001,,,,,,,,2184,2831,< 2,< 25,,10435.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7422,-65.2412,590,"20° 44' 31.8""","65° 14' 28.3"" ",Tumusla,2258 msnm ,23-06-2013,10:25 Hs,0.603 m/s,10 m3/s,Junio 2013, Unidad de Monitoreo y Centro de Datos,1122,7.04,8.45,842,203,1045,10.2,74.78,75.93,512.5,77.15,78.42,7.9,8.4,56.7,57.8,< 5,< 2,4,13,2,< 1,3,< 25,2,18,332,12099,21,343,< 0.04,< 0.1,11,< 25,1,< 1,2,8,7,136,44.33,,,78.82,57965.52,1586.21,,0.49,635.47,251,,,-88,0.3,85.4,105,42.1,463.1,,,,,,,,,,,,< 0.001,,,,,,,,1392,1391,< 2,< 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7935,591,"19° 28' 18.7""","65° 47' 36.7"" ",Tarapaya,3636 msnm ,23-06-2013,15:25 Hs,0.532 m/s,2 m3/s,Junio 2013, Unidad de Monitoreo y Centro de Datos,731,5.03,7.44,406,83,489,12.5,62.65,63.23,199.4,9.9,10.08,11.8,11.9,45.2,45.8,24,30,21,164,6,19,10,86,0.2,8,755,14174,650,1163,< 0.04,0.773,9,< 25,< 0.1,4,0.2,55,1631,5494,1722.89,156.63,915.66,93.98,161674.70,6180.72,,520.48,46542.17,99.8,48.19,9.28,-32,0.1,72.7,75,53.3,225.5,,,,,,,,,,,,< 0.001,,,,,,,,411,356,< 2,< 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.602,-65.7346,592,"19° 36' 7.3""","65° 44' 4.5"" ",De la Ribera,4049 msnm ,27-10-2013,15:15 Hs,SIN DATOS,SIN DATOS,Octubre 2013, Unidad de Monitoreo y Centro de Datos,222,,7.628,84,< 1,84,18.4,31.56,33.45,90.48,2.84,2.91,5.1,7.8,10.4,10.4,38,7,12,18,0.5,< 1,2,< 25,< 0.2,9,165,921,23,63,0.063,1.498,< 2,< 25,0.1,< 1,0.3,13,58,118,6000.00,,,9000.00,756000.00,40000.00,,7900.00,60000.00,0.46,,1440.00,-50.2,0,98.8,65,7.5,36.7,0.2,0.3,< 0.01,< 0.02,0.15,5.6,17,,,< 0.002,,< 0.001,46,26,10,,,,15,195,182,< 2,< 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.4869,-65.6178,593,"20° 29' 12.8""","65° 37' 4.2"" ",Tumusla,2529 msnm ,23-10-2013,08:35 Hs,0.426 m/s,3 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,853,7.66,8.224,590,88,676,15.8,63.54,65.03,332.71,42.27,44.9,6.77,6.82,51.25,51.25,< 5,< 2,3,5,< 0.1,< 1,< 2,< 25,< 0.2,11,252,5078,43,322,< 0.04,0.573,3,< 25,< 0.1,< 1,< 0.2,< 3,3,< 25,22.73,,,125.00,54840.91,3170.45,,,,94.7,,6.48,-84.5,0.4,106.3,130,37.7,252.8,1.6,0.58,< 0.01,< 0.02,< 0.06,< 0.1,< 5,,,< 0.002,,< 0.001,0,0,4,,,,2,1070,1107,< 2,< 25,,420.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.8218,-65.6638,594,"20° 49' 18.6""","65° 39' 49.7"" ",Cotagaita,2577 msnm ,23-10-2013,06:30 Hs,0.795 m/s,1 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1735,7.85,7.838,1496,85,1580,12.5,130.54,132.438,854.35,128.31,134.89,6.67,6.77,57.56,60.73,< 5,< 2,2,12,0.8,< 1,2,< 25,0.2,10,515,4986,420,952,< 0.04,< 0.1,54,63,< 0.1,< 1,< 0.2,< 3,78,171,117.65,,,115.29,52600.00,6258.82,105.88,,1094.12,84.6,,,-61.9,0.8,102,60,108.8,837.9,0.92,0.34,3.25,< 0.02,< 0.06,< 0.1,< 5,,,< 0.002,,< 0.001,0,5,8,,,,17,1135,2275,< 2,< 25,,13411.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7422,-65.2412,595,"20° 44' 31.8""","65° 14' 28.4"" ",Tumusla,2244 msnm ,28-10-2013,07:40 Hs,0.48 m/s,5 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1338,7.28,8.198,1162,2800,3961,17.1,120.33,121.03,677.56,91.57,92.22,10.4,10.9,67.6,74,44,14,3,63,0.1,6,5,88,0.2,106,429,71982,5,2795,< 0.04,0.498,6,109,0.1,9,0.7,117,8,975,21.43,2.11,29.64,37.79,25554.64,996.43,36.79,38.07,345.36,> 1100,3.18,0.18,-83.3,0.6,100.1,130,74.6,616.3,0.46,1.6,2.3,0.12,< 0.06,4.2,18,,,< 0.002,< 0.001,< 0.001,15,0,2,,,,30,1205,1566,< 2,< 25,0.3,128.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.5783,-65.8032,596,"19° 34' 42.0""","65° 48' 11.4"" ",Aljamayu,3461 msnm ,23-10-2013,13:20 Hs,0.624 m/s,0 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1376,4.99,7.869,916,928,1845,19.4,168.16,186.64,475.9,13.6,14.83,34.73,37.84,92.75,92.75,34,99,13,1190,10,100,32,1047,0.6,33,868,71953,966,2374,< 0.04,< 0.1,19,32,< 0.1,70,0.7,1112,1031,25187,1268.32,96.98,1093.75,34.91,76600.22,1517.24,14.01,1160.85,26030.17,575,75.43,,-65.2,0.6,83.1,205,99.7,475.3,6.32,4.54,< 0.01,< 0.02,45.02,4.2,25,,,< 0.002,,< 0.001,85,800,900,,,,20,306,312,< 2,< 25,,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7936,597,"19° 28' 18.9""","65° 47' 36.8"" ",Tarapaya,3237 msnm ,23-10-2013,14:30 Hs,0.34 m/s,0 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1111,5.61,7.546,706,60,795,19.4,138.134,140.028,400.92,13.6,13.6,11.1,11.25,63.9,65.17,< 5,5,25,143,3,33,5,75,2,38,968,11623,699,1280,< 0.04,5.748,11,56,2,25,2,56,833,3236,1966.67,500.00,1166.67,600.00,177583.33,9683.33,750.00,748.33,40050.00,79.4,383.33,95.83,-45.6,0.5,92.2,70,75.3,404.8,1.1,0.67,27.35,15.97,7.23,1.4,< 5,,,< 0.002,,< 0.001,18,0,0,,,,18,393,393,< 2,< 25,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.3551,-65.1781,598,"19° 21' 18.3""","65° 10' 41.2"" ",Pilcomayo,2168 msnm ,27-10-2013,11:35 Hs,0.837 m/s,7 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1565,5.49,7.752,702,9989,10691,21.1,89.81,93.42,314.98,22.03,22.42,12,12.6,103.1,113.7,70,34,10,497,0.1,88,2,577,0.4,266,448,151067,46,7149,< 0.04,0.798,4,206,0.1,19,0.2,645,19,12374,48.75,8.80,57.56,26.59,15078.49,711.08,20.22,63.37,1236.86,> 1100,1.89,0.08,-58.8,0.5,80.9,155,165.3,187.3,0.49,0.58,5.85,1.78,2.79,8.4,26,,,< 0.002,< 0.001,0.01,0,1,2,,,,45,558,844,< 2,< 25,5.4,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.5045,-65.7069,599,"21° 30' 16.36""","65° 42' 24.75"" ",Tupiza, msnm ,22-10-2013,13:30 Hs,0.84 m/s,1 m3/s,Octubre 2018, Unidad de Monitoreo y Centro de Datos,1505,6.82,8.34,1150,22,1171,23,122.9,126.72,703.11,96.22,99.1,8.66,8.66,86.93,88.22,< 5,5,1,< 3,< 0.1,< 1,< 2,< 25,0.4,8,485,1748,37,71,< 0.04,< 0.1,4,< 25,< 0.1,< 1,0.2,< 3,5,< 25,,,,345.45,57409.09,1545.45,,,,,,,-93.5,0.7,114.8,155,87.7,586.1,2.12,1.32,6.45,< 0.02,0.23,< 0.1,< 5,,,< 0.002,,< 0.001,2,3,8,,,,4,2025,2096,< 2,< 25,,3227.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.5259,-66.3478,600,"22° 31' 33.06""","66° 20' 52.2"" ",Orosmayo,3855 msnm ,21-10-2013,13:45 Hs,0.292 m/s,0 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,951,5.85,8.142,610,10,618,21.8,39.04,42.37,131.35,8.23,8.23,13.8,14.1,115.6,117.5,< 5,5,12,14,2,2,5,< 25,0.2,9,163,788,9,49,< 0.04,< 0.1,3,< 25,< 0.1,< 1,< 0.2,< 3,60,40,200.00,0.00,,880.00,62500.00,4000.00,,,,8.84,,,-81.6,0.4,107.9,95,194.8,87,4.32,1.81,< 0.01,< 0.02,< 0.06,1.4,< 5,,,< 0.002,,< 0.001,0,0,0,,,,12,4319,11798,< 2,< 25,,747900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.5602,-65.6477,601,"21° 33' 36.7""","65° 38' 51.6"" ",San Juan del Oro,2780 msnm ,22-10-2013,11:45 Hs,0.513 m/s,2 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1225,7.76,8.345,890,29,918,21.1,111.371,111.371,513.52,57.17,58.4,5.78,5.78,74.09,75.37,< 5,< 2,3,3,< 0.1,< 1,< 2,< 25,0.3,8,425,1254,9,31,< 0.04,< 0.1,4,< 25,< 0.1,< 1,0.2,< 3,3,< 25,0.00,,,265.52,28586.21,758.62,,,,16,,,-93.1,0.6,124.1,170,63.9,334.3,1.23,0.43,2.3,< 0.02,0.24,< 0.1,< 5,,,< 0.002,,< 0.001,10,0,0,,,,6,2677,2729,< 2,< 25,,1793.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.0977,-65.5871,602,"22° 5' 51.6""","65° 35' 13.4"" ",La Quiaca,3297 msnm ,22-10-2013,06:35 Hs,0.377 m/s,0 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,965,2.5,7.963,474,8,481,12,69.49,70.23,258.21,20.57,21.88,13.59,13.74,67.71,66.92,5,7,10,11,< 0.1,< 1,2,< 25,0.4,9,280,762,53,81,< 0.04,< 0.1,3,< 25,< 0.1,< 1,0.3,< 3,3,< 25,125.00,,,1075.00,60250.00,3500.00,,,,19.9,,,-66.7,0.4,35.5,180,88.8,111.8,12.88,4.94,17.59,12.2,15.71,< 0.1,< 5,,,< 0.002,,< 0.001,0,130,180,,,,18,1499,1261,< 2,< 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2394,-65.2087,603,"21° 14' 21.7""","65° 12' 31.2"" ",San Juan del Oro,2260 msnm ,28-10-2013,09:40 Hs,0.422 m/s,4 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1476,6.99,8.206,1220,2311,3530,19.3,147.02,147.02,653.75,69.61,69.61,11.1,11.2,90.8,93.1,80,9,3,38,< 0.1,2,< 2,65,0.2,87,634,73197,6,2168,< 0.04,< 0.1,6,87,< 0.1,< 1,< 0.2,217,3,496,15.14,0.87,28.13,37.56,31398.96,935.53,35.05,89.10,213.33,> 1100,,,-84.9,0.7,100.9,165,95.6,539.8,0.43,0.58,1.47,< 0.02,< 0.06,7,29,,,< 0.002,< 0.001,< 0.001,3,0,1,,,,23,2260,2696,< 2,< 25,< 0.1,188.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.1496,-64.2367,604,21 8 58.5,64 14 12.3 ,Pilaya,938 msnm ,31-10-2013,17:30 Hs,0.294 m/s,10 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1384,6.97,8.437,1065,895,2032,27.8,112,138,695,99.5,103,7.69,14.2,97.9,170,37,59.9,6,46,0.1,2,2,45,0.3,50,532,39029,3,1456,< 0.04,< 0.1,,,,,,,,,44.69,2.12,48.04,55.53,43013.41,1623.46,52.51,52.86,241.34,983,2.12,,-100.7,0.7,99.9,162,64.3,630,0.3,13,1.81,0.39,,0.56,,80,300,,,,,,,< 0.02,< 1,,2.8,1778,1969,,,,213.41,,,,,,,,,,,5,52,0.1,2,0.2,55,< 2,< 25,2,218,< 0.001,70,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.9135,-64.1099,605,20 54 48.7,64 6 35.5 ,Pilcomayo,736 msnm ,31-10-2013,10:30 Hs,0.382 m/s,38 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1356,6.6,8.078,857,2475,3448,27.1,94.2,97.2,450,51.4,67.8,8.11,34.9,144,208,38.3,65.1,13,109,2,33,4,183,2,120,421,75083,3,4569,< 0.04,0.373,5,132,2,22,2,150,8,2431,38.79,12.53,72.32,47.68,30166.46,1844.85,51.31,57.33,978.99,> 1100,8.08,0.15,-79.8,0.6,90.9,145,157,455,0.52,1,9.16,0.26,,0.42,,800,3500,< 0.02,< 0.001,< 1,,,,,,,2.5,958,1028,< 2,< 25,< 0.1,28.28,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2591,-63.5113,606,21 15 32.6,63 30 40.7 ,Pilcomayo,498 msnm ,30-10-2013,17:45 Hs,0.284 m/s,51 m3/s,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1341,6.56,8.243,883,2065,3060,27.6,84.4,88.2,395,44.1,60.1,8.6,36.9,143,164,30.6,51.1,5,40,< 0.1,2,3,77,0.3,96,380,,,,,,,,,,,,,,16.95,0.97,35.84,46.34,41119.13,1050.85,38.26,34.09,208.23,708,,0.81,-89.3,0.6,102.4,145,175,315,0.37,2,9.07,0.1,,0.42,,500,1700,,,,,,,< 0.02,< 1,,4.2,710,874,,,,79.42,,,,,,85291,< 2,2170,< 0.04,1.673,3,82,< 0.1,< 1,< 0.2,79,< 2,< 25,2,432,< 0.001,420,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.3784,-62.5187,607,22 22 42.2,62 31 7.2 ,Pilcomayo,310 msnm ,30-10-2013,11:10 Hs,SIN DATOS,SIN DATOS,Octubre 2013, Unidad de Monitoreo y Centro de Datos,1359,7.66,8.259,892,540,1592,28.5,89.6,92.3,402,42.7,43.3,9.95,14.4,145,170,42.1,62.7,5,12,< 0.1,< 1,3,< 25,0.3,37,385,19868,4,454,< 0.04,0.548,3,< 25,< 0.1,2,< 0.2,16,2,80,12.96,,,67.96,36079.63,833.33,,11.20,144.44,554,3.70,1.02,-90.4,0.6,103.2,139,195,310,0.25,1.1,3.19,0.1,,0.56,,80,300,,< 0.001,< 1,,,,,,< 0.02,3.5,622,761,< 2,< 25,< 0.1,257.41,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.6653,-62.2109,609,"22° 39' 55.1""","62° 12' 39.2"" ",La Estrella,282 msnm ,13-11-2013,15:20 Hs,SIN DATOS,SIN DATOS,Noviembre 2013, Unidad de Monitoreo y Centro de Datos,948,7.56,8.005,839,2006,3090,28.9,33,,222,34,,7.7,,80,,< 2,95,3,31,< 0.1,< 1,3,66,0.3,73,317,69995,6,1948,,,3,66,< 0.1,< 1,< 0.2,62,2,212,13.96,,31.41,36.24,34734.80,968.10,31.41,27.07,104.69,877,,,-75.5,0.4,101.5,105,107,146,,< 0.6,6,< 0.03,0.05,,,930,21000,,< 0.02,,,,,,,,18,452,512,< 2,< 25,101,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
